ukprn,he_provider,country_of_he_provider,region_of_he_provider,academic_year,int_n_consult_sme,int_n_consult_lc,int_n_consult_nc,int_n_consult_total,int_v_consult_sme_000gbp,int_v_consult_lc_000gbp,int_v_consult_nc_000gbp,int_v_consult_total_000gbp,int_n_fe_sme,int_n_fe_lc,int_n_fe_nc,int_n_fe_total,int_v_fe_sme_000gbp,int_v_fe_lc_000gbp,int_v_fe_nc_000gbp,int_v_fe_total_000gbp,cpd_sme_000gbp,cpd_lc_000gbp,cpd_nc_000gbp,cpd_indiv_000gbp,cpd_tot_rev_000gbp,cpd_lrnr_days,contract_int_n_sme,contract_int_n_lc,contract_int_n_nc,contract_int_n_total,contract_int_v_sme_000gbp,contract_int_v_lc_000gbp,contract_int_v_nc_000gbp,contract_int_v_total_000gbp,cumul_patent,n_disclosures,n_patents_filed,n_external_patents,n_patents_granted,nonsoftware_sme,nonsoftware_lc,software_sme,software_lc,license_inc_nsw_nc_000gbp,license_inc_nsw_lc_000gbp,license_inc_nsw_sme_000gbp,license_inc_ip_nc_000gbp,license_inc_ip_lc_000gbp,license_inc_ip_sme_000gbp,license_inc_sw_nc_000gbp,license_inc_sw_lc_000gbp,license_inc_sw_sme_000gbp,external_investment_spin,n_spinouts_surv3,hefunds_eu_industry,hefunds_noneu_industry,hefunds_research_councils,hefunds_total,hefunds_uk_industry,inc_collab_public,ay_cpi,bci_sme,bci_lc,bci_total,cagr_5yr_2324,cluster
10048199,Northeastern University London,England,London,2024/25,0,0,6,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1131,0,0,100,0,0,0,,
10007138,The University of Northampton,England,East Midlands,2014/15,11230,40,55,11325,381.2392181,54.46274544,465.6564735,901.358437,3,1,3,7,108.9254909,12.25411772,122.5411772,243.7207858,43.57019635,0,823.7490248,2378.660407,3245.979628,37177,2,6,47,55,13.61568636,111.6486282,827.8337307,953.0980452,28,0,12,8,12,0,1,0,0,6.80784318,27.23137272,0,0,0,0,0,0,0,0,0,,,,,,,73.4447,503.7803953,205.596864,709.3772594,0.061132264,"Small and mid-size, teaching focus"
10007138,The University of Northampton,England,East Midlands,2015/16,11164,49,113,11326,310.9988583,354.0809513,1109.363893,1774.443702,3,2,1,6,10.77052323,40.38946212,189.830472,240.9904573,134.6315404,37.69683131,1106.671262,321.7693816,1600.769015,5956,2,3,46,51,21.54104646,133.285225,516.9851151,671.8113866,16,0,0,0,4,0,0,0,0,0,0,0,0,2.692630808,0,0,0,0,5115.998535,0,32.3115697,0,53.85261616,1219.761756,123.8610172,100.9736553,74.2768,343.310428,530.4482692,873.7586972,0.061132264,"Small and mid-size, teaching focus"
10007138,The University of Northampton,England,East Midlands,2016/17,2001,2,39,2042,287.1107136,1.323090846,3781.393638,4069.827442,1,3,1,5,7.938545076,133.6321755,132.3090846,273.8798051,128.3398121,37.04654369,834.8703239,226.2485347,1226.505214,5100,2,8,39,49,5.292363384,299.0185312,828.2548696,1132.565764,20,0,0,0,4,1,0,0,0,0,0,6.61545423,0,0,0,0,0,0,4763.127046,0,275.202896,0,83.3547233,1937.004999,91.29326838,263.2950784,75.5806,306.9570763,433.9737975,740.9308738,0.061132264,"Small and mid-size, teaching focus"
10007138,The University of Northampton,England,East Midlands,2017/18,3512,518,131,4161,57.29539684,156.2601732,3521.062569,3734.618139,2,5,0,7,5.20867244,61.20190117,0,66.41057361,2.60433622,19.53252165,817.761573,307.3116739,1147.210105,5812,14,5,48,67,169.2818543,138.0298196,1740.998763,2048.310437,20,0,0,8,0,0,0,0,0,0,0,3.90650433,0,0,0,0,0,0,0,0,0,0,199.2317208,2970.245459,96.36044013,746.142327,76.795,235.6924279,355.491894,591.1843219,0.061132264,"Small and mid-size, teaching focus"
10007138,The University of Northampton,England,East Midlands,2018/19,2645,12,77,2734,29.24764874,161.4978865,2335.996989,2526.742524,0,1,2,3,0,5.086547608,76.29821411,81.38476172,12.71636902,20.34619043,820.2058017,226.3513685,1079.61973,3936,9,4,36,49,136.0651485,8.901458313,593.8544332,738.82104,24,0,0,8,4,0,0,0,0,0,0,3.814910706,0,0,0,0,0,0,0,4,0,0,151.3247913,1448.394431,169.127708,204.7335412,78.6388,169.127708,175.4858925,344.6136004,0.061132264,"Small and mid-size, teaching focus"
10007138,The University of Northampton,England,East Midlands,2019/20,1585,5,10,1600,1.228443881,119.1590565,18.42665821,138.8141586,0,0,1,1,0,0,1.228443881,1.228443881,2.456887762,104.4177299,624.0494915,167.0683678,897.992477,3859,6,4,26,36,212.5207914,100.7323982,337.8220673,651.0752569,24,0,0,8,0,0,0,0,0,0,0,3.685331643,0,0,0,0,0,0,0,4,0,0,151.0985974,1325.490948,162.1545923,152.3270412,81.4038,217.4345669,219.8914547,437.3260216,0.061132264,"Small and mid-size, teaching focus"
10007138,The University of Northampton,England,East Midlands,2020/21,16,11,10,37,18.98922717,180.3976582,39.16528105,238.5521664,0,0,0,0,0,0,0,0,0,0,460.488759,80.70421549,541.1929745,2187,4,3,22,29,30.85749416,269.4096605,380.9713702,681.2385249,0,0,0,12,0,0,1,0,0,0,5.934133492,0,0,0,0,0,0,0,0,0,0,0,22.54970727,1163.090164,84.26469558,201.7605387,84.2583,49.84672133,455.7414522,505.5881735,0.061132264,"Small and mid-size, teaching focus"
10007138,The University of Northampton,England,East Midlands,2021/22,1,4,7,12,1.157812106,42.83904791,194.5124337,238.5092938,0,0,0,0,0,0,0,0,0,0,348.5014438,121.5702711,470.0717149,1921,2,4,10,16,9.262496845,171.3561916,305.6623959,486.2810844,0,8,0,0,0,0,3,0,0,0,11.57812106,0,0,0,0,0,0,0,0,0,0,0,20.8406179,1007.296532,166.7249432,339.2389469,86.3698,10.42030895,225.7733606,236.1936695,0.061132264,"Small and mid-size, teaching focus"
10007138,The University of Northampton,England,East Midlands,2022/23,0,1,9,10,0,55.48828055,22.84811552,78.33639607,3,0,0,3,15.23207701,0,0,15.23207701,2.176011002,2.176011002,1008.581099,177.3448967,1190.278018,5932,0,6,30,36,0,172.9928747,582.082943,755.0758177,0,12,0,0,0,0,0,0,0,0,4.352022004,0,0,0,0,0,0,0,0,0,22.84811552,0,0,1200.070068,188.2249517,88.12844558,91.9113,15.23207701,232.8331772,248.0652542,0.061132264,"Small and mid-size, teaching focus"
